Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/08  04:00:00,0.872198732,0.347714928,0.347714928,0.347714928,0.067338672,0.014671381,0.053976431,0.371385321,2.422715321
 01/08  05:00:00,0.878159714,0.355858606,0.355858606,0.355858606,0.067338672,0.014671381,0.065822864,0.357356191,2.45092464
 01/08  06:00:00,0.93427181,0.356290788,0.356290788,0.356290788,0.067338672,0.014671381,0.080078181,0.398780788,2.564013196
 01/08  07:00:00,1.180713181,0.373842495,0.373842495,0.373842495,0.154878975,0.033744183,0.140383543,0.460751986,3.091999353
 01/08  08:00:00,1.506188947,0.370478887,0.370478887,0.370478887,0.316491771,0.068955493,0.228567291,0.489583505,3.721223668
 01/08  09:00:00,1.449917315,0.348717527,0.348717527,0.348717527,0.303024045,0.066021219,0.30112795,0.413914574,3.580157684
 01/08  10:00:00,1.285642904,0.352568419,0.352568419,0.352568419,0.154878975,0.033744183,0.375064554,0.352274774,3.259310647
 01/08  11:00:00,1.286047685,0.356764087,0.356764087,0.356764087,0.127943439,0.027875616,0.395792849,0.360559693,3.268511543
 01/08  12:00:00,1.357373554,0.410163854,0.410163854,0.410163854,0.127943439,0.027875616,0.413608485,0.360670159,3.517962815
 01/08  13:00:00,1.29303979,0.365857704,0.365857704,0.365857704,0.127943439,0.027875616,0.39965648,0.354594551,3.300682988
 01/08  14:00:00,1.261336789,0.360113686,0.360113686,0.360113686,0.127943439,0.027875616,0.361435816,0.366856232,3.22578895
 01/08  15:00:00,1.25815974,0.357746593,0.357746593,0.357746593,0.134677344,0.029342762,0.331767743,0.387513298,3.214700666
 01/08  16:00:00,1.332141008,0.361027173,0.361027173,0.361027173,0.168346701,0.036678457,0.339922589,0.409054088,3.369224362
 01/08  17:00:00,1.599073497,0.364041328,0.364041328,0.364041328,0.282822414,0.061619798,0.389638663,0.483839294,3.90911765
 01/08  18:00:00,2.136106749,0.411107041,0.411107041,0.411107041,0.52524165,0.114436773,0.480421868,0.587787417,5.07731558
 01/08  19:00:00,2.427147985,0.357965603,0.357965603,0.357965603,0.781128612,0.170188022,0.43259402,0.638159727,5.523115175
 01/08  20:00:00,2.379634258,0.345501593,0.345501593,0.345501593,0.828265695,0.180457992,0.349590651,0.658706327,5.433159702
 01/08  21:00:00,2.220382393,0.341881707,0.341881707,0.341881707,0.713789982,0.155516632,0.310730298,0.681351773,5.107416199
 01/08  22:00:00,2.051153283,0.344757938,0.344757938,0.344757938,0.599314185,0.130575291,0.29394914,0.665444728,4.774710441
 01/08  23:00:00,1.729986732,0.353376161,0.353376161,0.353376161,0.451169115,0.098298255,0.234174068,0.575857133,4.149613786
 01/08  24:00:00,1.407482043,0.361259069,0.361259069,0.361259069,0.309757866,0.067488347,0.151455627,0.500409133,3.520370223
 01/09  01:00:00,1.08617787,0.371957947,0.371957947,0.371957947,0.161612796,0.035211311,0.086369242,0.413914574,2.899159634
 01/09  02:00:00,0.970718164,0.38544701,0.38544701,0.38544701,0.094274166,0.020539939,0.072238755,0.381106294,2.695218348
 01/09  03:00:00,0.922655932,0.387130955,0.387130955,0.387130955,0.067338672,0.014671381,0.059715255,0.37668767,2.602461775
 01/09  04:00:00,0.910058167,0.386939766,0.386939766,0.386939766,0.067338672,0.014671381,0.052611026,0.371385321,2.576883865
 01/09  05:00:00,0.907531211,0.387901258,0.387901258,0.387901258,0.067338672,0.014671381,0.063151709,0.357356191,2.573752938
